,Index,Date,Language,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
0,DJIA,04-05-2018,en,2,0.34,0.138,0.0,0.862,@chlobo_ilo  You reference DJIA as a related security in your article this evening? Did you mean DJX
1,DJIA,04-05-2018,en,4,0.0,0.0,0.0,1.0,$DJIA  Futures...!!!! https://t.co/U3cDu1G10C
2,DJIA,04-05-2018,en,5,-0.3049,0.0,0.13,0.87,Trump asks for $100 billion in additional tariffs on Chinese products - Seriously???  $QQQ $SPX $DJIA https://t.co/z95k8n2beB
3,DJIA,04-05-2018,en,6,0.0,0.0,0.0,1.0,@marxnd @asibiza1 @notayesmansecon @benbGATech @Financial_Orbit @RonnieChopra1 @jimmhk @elerianm @TheIdleInvestor… https://t.co/egKJhZBEAm
4,DJIA,04-05-2018,en,7,0.3724,0.108,0.0,0.892,$SPY I'd be willing to be big money that we don't open worse than -.60% tomorrow morning...which means there is an… https://t.co/g9mLJK880B
5,DJIA,04-05-2018,en,8,0.0,0.0,0.0,1.0,RT @MarketWatch: Dow futures tumble as Trump seeks additional $100 billion in tariffs https://t.co/R5KAsAwpG1
6,DJIA,04-05-2018,en,9,0.7003,0.234,0.0,0.766,Halfway to that +8% bounce target with 2 trading days left. Need to clear 2800 before we breath safely $SPX $VIX… https://t.co/GvtUmBINVf
7,DJIA,04-05-2018,en,10,0.0,0.0,0.0,1.0,"RT @IBD_DChung: New In Investor's Corner: Just a thought for now, but if you are expecting more 8% to 12% pullbacks by the major indexes th…"
8,DJIA,04-04-2018,en,2,0.0,0.0,0.0,1.0,"So far, the 200 day sma is holding on the DJIA daily."
9,DJIA,04-04-2018,en,3,0.2732,0.143,0.097,0.759,RT @DanBehringer221: Break out the rally cap: Dow Jones industrial average turns 500-point loss into 230-point gain on Wednesday. https://t…
10,DJIA,04-04-2018,en,4,0.0,0.0,0.0,1.0,$SPX $SPY $QQQ $NDX $IWM $VIX $DIA $DJIA $SVXY $UVXY Economic reports for Thursday 4/5 https://t.co/Y2u8thLQqc
11,DJIA,04-04-2018,en,5,0.0,0.0,0.0,1.0,"US Stocks With 5-Day RSI Below 30 [3-Apr]:

$DJIA: 0%
$SPX:  6%
$MID:  7%
$SML:  10%
$NDX:  18%

https://t.co/4b93yYPrfh"
12,DJIA,04-04-2018,en,6,0.2263,0.201,0.13,0.669,RT @TSTRealMoney: The right combination of bad news and gap-down open created ideal conditions for a very feisty reversal. The DJIA reverse…
13,DJIA,04-04-2018,en,7,0.3818,0.115,0.0,0.885,#Dow #DowJones #DJIA gained 0.96% #SP500 up 1.16% #NASDAQ up 1.45% #DJIA YTD still down 1.84% #SP500 YTD still down… https://t.co/FRYcUJoYTI
14,DJIA,04-04-2018,en,9,0.0,0.0,0.0,1.0,"Recap of today’s #market activity, #news after the close https://t.co/ArBMEFRgD7 $SPX $DJIA $COMPQ $USD #futures #stocks #economy #earnings"
15,DJIA,04-03-2018,en,1,0.3818,0.207,0.114,0.679,Market popped +8% in 4 days last time it survived a 200MA scare in Feb. Here's what that would look like now $SPX… https://t.co/oAf8gxwnOj
16,DJIA,04-03-2018,en,2,0.4767,0.124,0.0,0.876,RT @AngrierWHStaff: Someone should really take a look at the trading moves made by POTUS’ close friends and family when he makes these outl…
