Ticker,Trade Date,Closing Price,Shares Traded,Normalized Value
AXP,2018-04-02,91.0,4998386,-0.5268749999999973
AXP,2018-04-03,92.74,2864528,0.016875000000000626
AXP,2018-04-04,93.58,4619167,0.2793750000000015
AXP,2018-04-05,94.2,2482315,0.4731250000000027
AXP,2018-04-06,91.91,2968942,-0.2424999999999986
AAPL,2018-04-02,166.68,37586791,-0.4725490196078421
AAPL,2018-04-03,168.39,30278046,-0.19313725490196332
AAPL,2018-04-04,171.61,34605489,0.33300653594771396
AAPL,2018-04-05,172.8,26933197,0.5274509803921579
AAPL,2018-04-06,168.38,35005290,-0.19477124183006642
BA,2018-04-02,322.44,5024944,-0.4444126074498539
BA,2018-04-03,330.82,4783125,0.15587392550143608
BA,2018-04-04,327.44,8235741,-0.0862464183381055
BA,2018-04-05,336.4,6219981,0.5555873925501461
BA,2018-04-06,326.12,5713613,-0.18080229226360658
CAT,2018-04-02,143.89,5397549,-0.22568093385214555
CAT,2018-04-03,145.06,4845692,0.0019455252918270296
CAT,2018-04-04,145.18,6188246,0.0252918287937735
CAT,2018-04-05,148.13,4584764,0.599221789883267
CAT,2018-04-06,142.99,5707394,-0.40077821011673304
CSCO,2018-04-02,41.01,36791764,-0.1999999999999961
CSCO,2018-04-03,41.38,28003925,0.1394495412844107
CSCO,2018-04-04,41.2,30117558,-0.025688073394487615
CSCO,2018-04-05,41.82,29331612,0.5431192660550496
CSCO,2018-04-06,40.73,32208692,-0.45688073394495043
CVX,2018-04-02,112.24,6228587,-0.49108910891089075
CVX,2018-04-03,114.83,6717311,0.02178217821782162
CVX,2018-04-04,114.48,5727192,-0.04752475247524641
CVX,2018-04-05,117.29,7204872,0.5089108910891093
CVX,2018-04-06,114.76,7094466,0.00792079207920914
XOM,2018-04-02,73.22,17891083,-0.5642857142857143
XOM,2018-04-03,75.02,15999151,0.07857142857142825
XOM,2018-04-04,74.87,13122170,0.025000000000002666
XOM,2018-04-05,76.02,14199993,0.4357142857142858
XOM,2018-04-06,74.87,14299567,0.025000000000002666
GE,2018-04-02,13.12,72086963,-0.2270270270270265
GE,2018-04-03,13.13,59785137,-0.1999999999999952
GE,2018-04-04,13.28,57172424,0.20540540540540722
GE,2018-04-05,13.43,53526222,0.6108108108108145
GE,2018-04-06,13.06,63465872,-0.38918918918918555
GS,2018-04-02,247.35,3429894,-0.46288416075650035
GS,2018-04-03,250.58,2488166,-0.08108747044916997
GS,2018-04-04,252.62,2853211,0.1600472813238785
GS,2018-04-05,255.81,1924810,0.5371158392434996
GS,2018-04-06,249.97,3621939,-0.15319148936170107
HD,2018-04-02,172.9,7229319,-0.42311396468699386
HD,2018-04-03,173.76,5283287,-0.28507223113964447
HD,2018-04-04,177.44,4757299,0.3056179775280944
HD,2018-04-05,179.13,3799927,0.5768860353130062
HD,2018-04-06,174.45,5236946,-0.174317817014444
IBM,2018-04-02,150.07,5150435,-0.3882903981264597
IBM,2018-04-03,149.85,4135696,-0.43981264637001904
IBM,2018-04-04,154.12,4805261,0.560187353629981
IBM,2018-04-05,154.03,3185388,0.5391100702576148
IBM,2018-04-06,150.57,3672919,-0.27119437939109703
INTC,2018-04-02,48.92,67187824,-0.40628930817609576
INTC,2018-04-03,49.75,39432360,0.11572327044025423
INTC,2018-04-04,49.99,30370046,0.2666666666666702
INTC,2018-04-05,50.38,25115351,0.5119496855345946
INTC,2018-04-06,48.79,28215164,-0.4880503144654054
JNJ,2018-04-02,124.56,8916907,-0.6286178861788588
JNJ,2018-04-03,128.35,8034954,-0.012357723577234688
JNJ,2018-04-04,130.41,7717054,0.3226016260162613
JNJ,2018-04-05,130.71,5621686,0.37138211382114117
JNJ,2018-04-06,128.1,6399310,-0.05300813008129969
KO,2018-04-02,42.67,14207925,-0.6080924855491339
KO,2018-04-03,43.38,15484644,-0.19768786127167592
KO,2018-04-04,44.24,13563321,0.29942196531792004
KO,2018-04-05,44.4,11707816,0.3919075144508662
KO,2018-04-06,43.92,11495075,0.11445086705202356
JPM,2018-04-02,107.85,18822525,-0.49081885856079605
JPM,2018-04-03,109.33,14050737,-0.12357320099255695
JPM,2018-04-04,110.99,15302608,0.2883374689826282
