,Unnamed: 0,Date,Sentiments,Stock Name,Ticker,Closing Price,Shares Traded,Normalized Value
0,0,4/6/2018,-0.00012,American Express Co,AXP,91.91,2968942,-0.2425
1,1,4/5/2018,0.0051875,American Express Co,AXP,94.2,2482315,0.473125
2,2,4/4/2018,0.067770588,American Express Co,AXP,93.58,4619167,0.279375
3,3,4/3/2018,0.256584211,American Express Co,AXP,92.74,2864528,0.016875
4,4,4/2/2018,0.092595833,American Express Co,AXP,91,4998386,-0.526875
5,5,4/1/2018,0.075388,American Express Co,,,,
6,6,3/31/2018,0.062830556,American Express Co,,,,
7,7,4/6/2018,0.070321,Apple Inc,AAPL,168.38,35005290,-0.194771242
8,8,4/5/2018,0.047336,Apple Inc,AAPL,172.8,26933197,0.52745098
9,9,4/4/2018,0.132864,Apple Inc,AAPL,171.61,34605489,0.333006536
10,10,4/3/2018,0.020717,Apple Inc,AAPL,168.39,30278046,-0.193137255
11,11,4/2/2018,0.085067,Apple Inc,AAPL,166.68,37586791,-0.47254902
12,12,4/1/2018,0.050807,Apple Inc,,,,
13,13,3/31/2018,0.123773,Apple Inc,,,,
14,14,4/6/2018,0.120687,Boeing Co,BA,326.12,5713613,-0.180802292
15,15,4/5/2018,0.034525,Boeing Co,BA,336.4,6219981,0.555587393
16,16,4/4/2018,-0.034844,Boeing Co,BA,327.44,8235741,-0.086246418
17,17,4/3/2018,0.023157,Boeing Co,BA,330.82,4783125,0.155873926
18,18,4/2/2018,-0.209866,Boeing Co,BA,322.44,5024944,-0.444412607
19,19,4/1/2018,-0.013038,Boeing Co,,,,
20,20,3/31/2018,0.036833,Boeing Co,,,,
21,21,4/6/2018,0.061333333,Caterpillar Inc,CAT,142.99,5707394,-0.40077821
22,22,4/5/2018,0.33074,Caterpillar Inc,CAT,148.13,4584764,0.59922179
23,23,4/4/2018,0.100956,Caterpillar Inc,CAT,145.18,6188246,0.025291829
24,24,4/3/2018,0.1233,Caterpillar Inc,CAT,145.06,4845692,0.001945525
25,25,4/2/2018,0.218077778,Caterpillar Inc,CAT,143.89,5397549,-0.225680934
26,26,4/1/2018,0.2981,Caterpillar Inc,,,,
27,27,3/31/2018,0.216708696,Caterpillar Inc,,,,
28,28,4/6/2018,0.28498125,Cisco Systems Inc,CSCO,40.73,32208692,-0.456880734
29,29,4/5/2018,0.363620833,Cisco Systems Inc,CSCO,41.82,29331612,0.543119266
30,30,4/4/2018,0.161417241,Cisco Systems Inc,CSCO,41.2,30117558,-0.025688073
31,31,4/3/2018,0.174745,Cisco Systems Inc,CSCO,41.38,28003925,0.139449541
32,32,4/2/2018,0.222309091,Cisco Systems Inc,CSCO,41.01,36791764,-0.2
33,33,4/1/2018,0.070528571,Cisco Systems Inc,,,,
34,34,3/31/2018,0.148789474,Cisco Systems Inc,,,,
35,35,4/6/2018,0,Chevron Corp,CVX,114.76,7094466,0.007920792
36,36,4/5/2018,0.25875,Chevron Corp,CVX,117.29,7204872,0.508910891
37,37,4/4/2018,0.174741667,Chevron Corp,CVX,114.48,5727192,-0.047524752
38,38,4/3/2018,0.218411111,Chevron Corp,CVX,114.83,6717311,0.021782178
39,39,4/2/2018,0.050575,Chevron Corp,CVX,112.24,6228587,-0.491089109
40,40,4/1/2018,0.5411,Chevron Corp,,,,
41,41,3/31/2018,0.57028,Chevron Corp,,,,
42,42,4/6/2018,0.10212,Exxon Mobil Corp,XOM,74.87,14299567,0.025
43,43,4/5/2018,0.06344,Exxon Mobil Corp,XOM,76.02,14199993,0.435714286
44,44,4/4/2018,0.099285714,Exxon Mobil Corp,XOM,74.87,13122170,0.025
45,45,4/3/2018,0.11244,Exxon Mobil Corp,XOM,75.02,15999151,0.078571429
46,46,4/2/2018,0.13899,Exxon Mobil Corp,XOM,73.22,17891083,-0.564285714
47,47,4/1/2018,0.246516667,Exxon Mobil Corp,,,,
48,48,3/31/2018,-0.2161,Exxon Mobil Corp,,,,
