,Index,Date,Language,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
0,DJIA,06-04-2018,en,1,0.1513,0.091,0.0,0.909,"....as the scent of estrogen and soy grew more intense, I noticed the DJIA was down 500 pts."
1,DJIA,06-04-2018,in,2,0.0,0.0,0.0,1.0,$DJIA -500
2,DJIA,06-04-2018,en,3,0.0,0.0,0.0,1.0,Bear Target Hit +113.5 $$$Points $DJIA SL: 24625TP: 24019 #manuelfx #ClosedProfit https://t.co/StW4DaacXb
3,DJIA,06-04-2018,en,4,-0.6048,0.11,0.264,0.626,Lol. Question to all the jitters and pessimistic #WallStreet investment outlets: If this #TradeWar is so damaging t… https://t.co/fpY5eAPCXj
4,DJIA,06-04-2018,en,5,0.0,0.0,0.0,1.0,1987 was the year the market crossed 2360 for the first time right? Veteran Trader has the clue:  #CNBC… https://t.co/imavKyJSSU
5,DJIA,06-04-2018,en,6,0.0,0.0,0.0,1.0,"US Stocks With 5-Day RSI Below 30 [5-Apr]:

$DJIA: 0%
$SPX:  1%
$MID:  3%
$SML:  3%
$NDX:  1%

https://t.co/4b93yYPrfh"
6,DJIA,06-04-2018,tl,7,0.0,0.0,0.0,1.0,RT @OwensAssetFund: @realDonaldTrump $AAPL $GOOG $MS $FB $AMZN $NFLX $GS  $GE $MA $MBRX $BAC $BABA $YM_F $NQ_F  $ES_F $DJIA $NDX $SPX #Pres…
7,DJIA,06-04-2018,en,8,0.5423,0.297,0.13,0.572,DOWNSIDE MOMENTUM ALERT: $DJD GUGGENHEIM DJIA DIVIDEND ETF ? TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room
8,DJIA,06-04-2018,in,9,0.0,0.0,0.0,1.0,RT @robichao: BOM DJIA https://t.co/xmNBNaV7K7
9,DJIA,06-04-2018,en,10,-0.4576,0.0,0.166,0.834,"Nothing really shocking in latest speech from #FederalReserve Chairman Jerome Powell, and financial markets aren't… https://t.co/0vNhnbPUU6"
10,DJIA,06-04-2018,en,11,0.4404,0.139,0.0,0.861,"$dji $djia $spx
Earnings Season starts next Monday, will @realDonaldTrump @potus be able to tank the markets as easy ?"
11,DJIA,06-04-2018,en,12,-0.296,0.0,0.104,0.896,"RT @McClellanOsc: My latest Chart In Focus article, ""Backmasking The DJIA's Price Pattern"", is posted at https://t.co/5BzHJWKaUA. And no, I…"
12,DJIA,06-04-2018,en,13,-0.3818,0.0,0.191,0.809,"Stocks are getting whacked after Trump threatens more tariffs (DJIA, X) https://t.co/80Jsv1rXTh"
13,DJIA,06-04-2018,en,14,-0.5719,0.0,0.188,0.812,"RT @JLyonsFundMgmt: ChOTD-4/6/18  Presidential Cycle: Stocks Entering Only Stretch Of Consecutive Negative Quarters, On Average $DIA $DJIA…"
14,DJIA,06-04-2018,en,15,0.1513,0.091,0.0,0.909,"....as the scent of estrogen and soy grew more intense, I noticed the DJIA was down 500 pts."
15,DJIA,06-04-2018,in,16,0.0,0.0,0.0,1.0,$DJIA -500
16,DJIA,06-04-2018,en,17,0.0,0.0,0.0,1.0,Bear Target Hit +113.5 $$$Points $DJIA SL: 24625TP: 24019 #manuelfx #ClosedProfit https://t.co/StW4DaacXb
17,DJIA,06-04-2018,en,18,-0.6048,0.11,0.264,0.626,Lol. Question to all the jitters and pessimistic #WallStreet investment outlets: If this #TradeWar is so damaging t… https://t.co/fpY5eAPCXj
18,DJIA,06-04-2018,en,19,0.0,0.0,0.0,1.0,1987 was the year the market crossed 2360 for the first time right? Veteran Trader has the clue:  #CNBC… https://t.co/imavKyJSSU
19,DJIA,06-04-2018,en,20,0.0,0.0,0.0,1.0,"US Stocks With 5-Day RSI Below 30 [5-Apr]:

$DJIA: 0%
$SPX:  1%
$MID:  3%
$SML:  3%
$NDX:  1%

https://t.co/4b93yYPrfh"
20,DJIA,06-04-2018,tl,21,0.0,0.0,0.0,1.0,RT @OwensAssetFund: @realDonaldTrump $AAPL $GOOG $MS $FB $AMZN $NFLX $GS  $GE $MA $MBRX $BAC $BABA $YM_F $NQ_F  $ES_F $DJIA $NDX $SPX #Pres…
21,DJIA,06-04-2018,en,22,0.5423,0.297,0.13,0.572,DOWNSIDE MOMENTUM ALERT: $DJD GUGGENHEIM DJIA DIVIDEND ETF ? TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room
22,DJIA,06-04-2018,in,23,0.0,0.0,0.0,1.0,RT @robichao: BOM DJIA https://t.co/xmNBNaV7K7
23,DJIA,06-04-2018,en,24,-0.4576,0.0,0.166,0.834,"Nothing really shocking in latest speech from #FederalReserve Chairman Jerome Powell, and financial markets aren't… https://t.co/0vNhnbPUU6"
24,DJIA,06-04-2018,en,25,0.4404,0.139,0.0,0.861,"$dji $djia $spx
Earnings Season starts next Monday, will @realDonaldTrump @potus be able to tank the markets as easy ?"
25,DJIA,06-04-2018,en,26,-0.296,0.0,0.104,0.896,"RT @McClellanOsc: My latest Chart In Focus article, ""Backmasking The DJIA's Price Pattern"", is posted at https://t.co/5BzHJWKaUA. And no, I…"
26,DJIA,06-04-2018,en,27,-0.3818,0.0,0.191,0.809,"Stocks are getting whacked after Trump threatens more tariffs (DJIA, X) https://t.co/80Jsv1rXTh"
27,DJIA,06-04-2018,en,28,-0.5719,0.0,0.188,0.812,"RT @JLyonsFundMgmt: ChOTD-4/6/18  Presidential Cycle: Stocks Entering Only Stretch Of Consecutive Negative Quarters, On Average $DIA $DJIA…"
28,DJIA,06-04-2018,en,29,0.1513,0.091,0.0,0.909,"....as the scent of estrogen and soy grew more intense, I noticed the DJIA was down 500 pts."
29,DJIA,06-04-2018,in,30,0.0,0.0,0.0,1.0,$DJIA -500
30,DJIA,06-04-2018,en,31,0.0,0.0,0.0,1.0,Bear Target Hit +113.5 $$$Points $DJIA SL: 24625TP: 24019 #manuelfx #ClosedProfit https://t.co/StW4DaacXb
31,DJIA,06-04-2018,en,32,-0.6048,0.11,0.264,0.626,Lol. Question to all the jitters and pessimistic #WallStreet investment outlets: If this #TradeWar is so damaging t… https://t.co/fpY5eAPCXj
32,DJIA,06-04-2018,en,33,0.0,0.0,0.0,1.0,1987 was the year the market crossed 2360 for the first time right? Veteran Trader has the clue:  #CNBC… https://t.co/imavKyJSSU
33,DJIA,06-04-2018,en,34,0.0,0.0,0.0,1.0,"US Stocks With 5-Day RSI Below 30 [5-Apr]:

$DJIA: 0%
$SPX:  1%
$MID:  3%
$SML:  3%
$NDX:  1%

https://t.co/4b93yYPrfh"
34,DJIA,06-04-2018,tl,35,0.0,0.0,0.0,1.0,RT @OwensAssetFund: @realDonaldTrump $AAPL $GOOG $MS $FB $AMZN $NFLX $GS  $GE $MA $MBRX $BAC $BABA $YM_F $NQ_F  $ES_F $DJIA $NDX $SPX #Pres…
35,DJIA,06-04-2018,en,36,0.5423,0.297,0.13,0.572,DOWNSIDE MOMENTUM ALERT: $DJD GUGGENHEIM DJIA DIVIDEND ETF ? TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room
36,DJIA,06-04-2018,in,37,0.0,0.0,0.0,1.0,RT @robichao: BOM DJIA https://t.co/xmNBNaV7K7
37,DJIA,06-04-2018,en,38,-0.4576,0.0,0.166,0.834,"Nothing really shocking in latest speech from #FederalReserve Chairman Jerome Powell, and financial markets aren't… https://t.co/0vNhnbPUU6"
38,DJIA,06-04-2018,en,39,0.4404,0.139,0.0,0.861,"$dji $djia $spx
Earnings Season starts next Monday, will @realDonaldTrump @potus be able to tank the markets as easy ?"
39,DJIA,06-04-2018,en,40,-0.296,0.0,0.104,0.896,"RT @McClellanOsc: My latest Chart In Focus article, ""Backmasking The DJIA's Price Pattern"", is posted at https://t.co/5BzHJWKaUA. And no, I…"
40,DJIA,06-04-2018,en,41,-0.3818,0.0,0.191,0.809,"Stocks are getting whacked after Trump threatens more tariffs (DJIA, X) https://t.co/80Jsv1rXTh"
41,DJIA,06-04-2018,en,42,-0.5719,0.0,0.188,0.812,"RT @JLyonsFundMgmt: ChOTD-4/6/18  Presidential Cycle: Stocks Entering Only Stretch Of Consecutive Negative Quarters, On Average $DIA $DJIA…"
42,DJIA,06-04-2018,en,43,0.1513,0.091,0.0,0.909,"....as the scent of estrogen and soy grew more intense, I noticed the DJIA was down 500 pts."
43,DJIA,06-04-2018,in,44,0.0,0.0,0.0,1.0,$DJIA -500
44,DJIA,06-04-2018,en,45,0.0,0.0,0.0,1.0,Bear Target Hit +113.5 $$$Points $DJIA SL: 24625TP: 24019 #manuelfx #ClosedProfit https://t.co/StW4DaacXb
45,DJIA,06-04-2018,en,46,-0.6048,0.11,0.264,0.626,Lol. Question to all the jitters and pessimistic #WallStreet investment outlets: If this #TradeWar is so damaging t… https://t.co/fpY5eAPCXj
46,DJIA,06-04-2018,en,47,0.0,0.0,0.0,1.0,1987 was the year the market crossed 2360 for the first time right? Veteran Trader has the clue:  #CNBC… https://t.co/imavKyJSSU
47,DJIA,06-04-2018,en,48,0.0,0.0,0.0,1.0,"US Stocks With 5-Day RSI Below 30 [5-Apr]:

$DJIA: 0%
$SPX:  1%
$MID:  3%
$SML:  3%
$NDX:  1%

https://t.co/4b93yYPrfh"
48,DJIA,06-04-2018,tl,49,0.0,0.0,0.0,1.0,RT @OwensAssetFund: @realDonaldTrump $AAPL $GOOG $MS $FB $AMZN $NFLX $GS  $GE $MA $MBRX $BAC $BABA $YM_F $NQ_F  $ES_F $DJIA $NDX $SPX #Pres…
49,DJIA,06-04-2018,en,50,0.5423,0.297,0.13,0.572,DOWNSIDE MOMENTUM ALERT: $DJD GUGGENHEIM DJIA DIVIDEND ETF ? TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room
50,DJIA,06-04-2018,in,51,0.0,0.0,0.0,1.0,RT @robichao: BOM DJIA https://t.co/xmNBNaV7K7
51,DJIA,06-04-2018,en,52,-0.4576,0.0,0.166,0.834,"Nothing really shocking in latest speech from #FederalReserve Chairman Jerome Powell, and financial markets aren't… https://t.co/0vNhnbPUU6"
52,DJIA,06-04-2018,en,53,0.4404,0.139,0.0,0.861,"$dji $djia $spx
Earnings Season starts next Monday, will @realDonaldTrump @potus be able to tank the markets as easy ?"
53,DJIA,06-04-2018,en,54,-0.296,0.0,0.104,0.896,"RT @McClellanOsc: My latest Chart In Focus article, ""Backmasking The DJIA's Price Pattern"", is posted at https://t.co/5BzHJWKaUA. And no, I…"
54,DJIA,06-04-2018,en,55,-0.3818,0.0,0.191,0.809,"Stocks are getting whacked after Trump threatens more tariffs (DJIA, X) https://t.co/80Jsv1rXTh"
55,DJIA,06-04-2018,en,56,-0.5719,0.0,0.188,0.812,"RT @JLyonsFundMgmt: ChOTD-4/6/18  Presidential Cycle: Stocks Entering Only Stretch Of Consecutive Negative Quarters, On Average $DIA $DJIA…"
56,DJIA,06-04-2018,en,57,0.1513,0.091,0.0,0.909,"....as the scent of estrogen and soy grew more intense, I noticed the DJIA was down 500 pts."
57,DJIA,06-04-2018,in,58,0.0,0.0,0.0,1.0,$DJIA -500
58,DJIA,06-04-2018,en,59,0.0,0.0,0.0,1.0,Bear Target Hit +113.5 $$$Points $DJIA SL: 24625TP: 24019 #manuelfx #ClosedProfit https://t.co/StW4DaacXb
59,DJIA,06-04-2018,en,60,-0.6048,0.11,0.264,0.626,Lol. Question to all the jitters and pessimistic #WallStreet investment outlets: If this #TradeWar is so damaging t… https://t.co/fpY5eAPCXj
60,DJIA,06-04-2018,en,61,0.0,0.0,0.0,1.0,1987 was the year the market crossed 2360 for the first time right? Veteran Trader has the clue:  #CNBC… https://t.co/imavKyJSSU
61,DJIA,06-04-2018,en,62,0.0,0.0,0.0,1.0,"US Stocks With 5-Day RSI Below 30 [5-Apr]:

$DJIA: 0%
$SPX:  1%
$MID:  3%
$SML:  3%
$NDX:  1%

https://t.co/4b93yYPrfh"
62,DJIA,06-04-2018,tl,63,0.0,0.0,0.0,1.0,RT @OwensAssetFund: @realDonaldTrump $AAPL $GOOG $MS $FB $AMZN $NFLX $GS  $GE $MA $MBRX $BAC $BABA $YM_F $NQ_F  $ES_F $DJIA $NDX $SPX #Pres…
63,DJIA,06-04-2018,en,64,0.5423,0.297,0.13,0.572,DOWNSIDE MOMENTUM ALERT: $DJD GUGGENHEIM DJIA DIVIDEND ETF ? TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room
64,DJIA,06-04-2018,in,65,0.0,0.0,0.0,1.0,RT @robichao: BOM DJIA https://t.co/xmNBNaV7K7
65,DJIA,06-04-2018,en,66,-0.4576,0.0,0.166,0.834,"Nothing really shocking in latest speech from #FederalReserve Chairman Jerome Powell, and financial markets aren't… https://t.co/0vNhnbPUU6"
66,DJIA,06-04-2018,en,67,0.4404,0.139,0.0,0.861,"$dji $djia $spx
Earnings Season starts next Monday, will @realDonaldTrump @potus be able to tank the markets as easy ?"
67,DJIA,06-04-2018,en,68,-0.296,0.0,0.104,0.896,"RT @McClellanOsc: My latest Chart In Focus article, ""Backmasking The DJIA's Price Pattern"", is posted at https://t.co/5BzHJWKaUA. And no, I…"
68,DJIA,06-04-2018,en,69,-0.3818,0.0,0.191,0.809,"Stocks are getting whacked after Trump threatens more tariffs (DJIA, X) https://t.co/80Jsv1rXTh"
69,DJIA,06-04-2018,en,70,-0.5719,0.0,0.188,0.812,"RT @JLyonsFundMgmt: ChOTD-4/6/18  Presidential Cycle: Stocks Entering Only Stretch Of Consecutive Negative Quarters, On Average $DIA $DJIA…"
