,Date,Sentiments,Stock Name
0,2018-04-06,-0.00011999999999999233,American Express Co
1,2018-04-05,0.0051875000000000115,American Express Co
2,2018-04-04,0.06777058823529412,American Express Co
3,2018-04-03,0.2565842105263158,American Express Co
4,2018-04-02,0.09259583333333332,American Express Co
5,2018-04-01,0.075388,American Express Co
6,2018-03-31,0.06283055555555556,American Express Co
7,2018-04-06,,Apple Inc
8,2018-04-05,0.047336,Apple Inc
9,2018-04-04,0.132864,Apple Inc
10,2018-04-03,0.020716999999999996,Apple Inc
11,2018-04-02,0.08506699999999999,Apple Inc
12,2018-04-01,0.050807000000000005,Apple Inc
13,2018-03-31,0.123773,Apple Inc
14,2018-04-06,,Boeing Co
15,2018-04-05,0.034525,Boeing Co
16,2018-04-04,-0.034844,Boeing Co
17,2018-04-03,0.023157,Boeing Co
18,2018-04-02,-0.20986600000000002,Boeing Co
19,2018-04-01,-0.013038000000000004,Boeing Co
20,2018-03-31,0.036833000000000005,Boeing Co
21,2018-04-06,,Caterpillar Inc
22,2018-04-05,0.33074,Caterpillar Inc
23,2018-04-04,0.100956,Caterpillar Inc
24,2018-04-03,0.12329999999999999,Caterpillar Inc
25,2018-04-02,0.21807777777777776,Caterpillar Inc
26,2018-04-01,0.2981,Caterpillar Inc
27,2018-03-31,0.21670869565217393,Caterpillar Inc
28,2018-04-06,,Cisco Systems Inc
29,2018-04-05,0.36362083333333334,Cisco Systems Inc
30,2018-04-04,0.16141724137931038,Cisco Systems Inc
31,2018-04-03,0.174745,Cisco Systems Inc
32,2018-04-02,0.22230909090909093,Cisco Systems Inc
33,2018-04-01,0.07052857142857143,Cisco Systems Inc
34,2018-03-31,0.1487894736842105,Cisco Systems Inc
35,2018-04-06,,Chevron Corp
36,2018-04-05,0.25875000000000004,Chevron Corp
37,2018-04-04,0.17474166666666666,Chevron Corp
38,2018-04-03,0.21841111111111114,Chevron Corp
39,2018-04-02,0.050575,Chevron Corp
40,2018-04-01,0.5411,Chevron Corp
41,2018-03-31,0.57028,Chevron Corp
42,2018-04-06,,Exxon Mobil Corp
43,2018-04-05,0.06344000000000001,Exxon Mobil Corp
44,2018-04-04,0.0992857142857143,Exxon Mobil Corp
45,2018-04-03,0.11244000000000001,Exxon Mobil Corp
46,2018-04-02,0.13899,Exxon Mobil Corp
47,2018-04-01,0.2465166666666667,Exxon Mobil Corp
48,2018-03-31,-0.21610000000000004,Exxon Mobil Corp
49,2018-04-06,,General Electric Co
50,2018-04-05,0.2000693181818182,General Electric Co
51,2018-04-04,0.2145788888888889,General Electric Co
52,2018-04-03,0.12789324324324328,General Electric Co
53,2018-04-02,0.280935,General Electric Co
54,2018-04-01,0.23055797101449269,General Electric Co
55,2018-03-31,0.1817932584269663,General Electric Co
56,2018-04-06,,Goldman Sachs Group Inc
57,2018-04-05,0.15150652173913046,Goldman Sachs Group Inc
58,2018-04-04,0.19453673469387753,Goldman Sachs Group Inc
59,2018-04-03,0.11824923076923077,Goldman Sachs Group Inc
60,2018-04-02,0.18157199999999998,Goldman Sachs Group Inc
61,2018-04-01,0.21114600000000003,Goldman Sachs Group Inc
62,2018-03-31,0.17822881355932205,Goldman Sachs Group Inc
63,2018-04-06,,Home Depot Inc
64,2018-04-05,0.03356551724137931,Home Depot Inc
65,2018-04-04,0.10761636363636364,Home Depot Inc
66,2018-04-03,0.13380576923076923,Home Depot Inc
67,2018-04-02,0.15084893617021275,Home Depot Inc
68,2018-04-01,0.12962333333333334,Home Depot Inc
69,2018-03-31,0.062014516129032256,Home Depot Inc
70,2018-04-06,,International Business Machines Corp
71,2018-04-05,0.0,International Business Machines Corp
72,2018-04-04,0.32671666666666666,International Business Machines Corp
73,2018-04-03,0.12040000000000001,International Business Machines Corp
74,2018-04-02,0.0,International Business Machines Corp
75,2018-04-01,0.0,International Business Machines Corp
76,2018-03-31,0.5106,International Business Machines Corp
77,2018-04-06,,Intel Corp
78,2018-04-05,0.06301538461538461,Intel Corp
79,2018-04-04,-0.04630303030303031,Intel Corp
80,2018-04-03,0.014291666666666666,Intel Corp
81,2018-04-02,0.02475428571428571,Intel Corp
82,2018-04-01,0.27934,Intel Corp
83,2018-03-31,0.1747811320754717,Intel Corp
84,2018-04-06,,Johnson & Johnson
85,2018-04-05,-0.008273,Johnson & Johnson
86,2018-04-04,-0.008062000000000001,Johnson & Johnson
87,2018-04-03,-0.022182999999999998,Johnson & Johnson
88,2018-04-02,0.005726000000000002,Johnson & Johnson
89,2018-04-01,0.07801700000000002,Johnson & Johnson
90,2018-03-31,0.158532,Johnson & Johnson
91,2018-04-06,,Coca-Cola Co
92,2018-04-05,0.10114200000000001,Coca-Cola Co
93,2018-04-04,0.3823440000000001,Coca-Cola Co
94,2018-04-03,0.4037780000000001,Coca-Cola Co
95,2018-04-02,-0.013053061224489794,Coca-Cola Co
96,2018-04-01,0.096225,Coca-Cola Co
97,2018-03-31,-0.03172599999999999,Coca-Cola Co
98,2018-04-06,,JPMorgan Chase & Co
99,2018-04-05,0.09776499999999999,JPMorgan Chase & Co
100,2018-04-04,0.08246184210526315,JPMorgan Chase & Co
101,2018-04-03,0.07763636363636363,JPMorgan Chase & Co
102,2018-04-02,0.10127594936708863,JPMorgan Chase & Co
103,2018-04-01,0.1253714285714286,JPMorgan Chase & Co
104,2018-03-31,0.12572043010752687,JPMorgan Chase & Co
105,2018-04-06,,McDonald's Corp
106,2018-04-05,0.13396666666666665,McDonald's Corp
107,2018-04-04,-0.1281,McDonald's Corp
108,2018-04-03,0.05235833333333334,McDonald's Corp
109,2018-04-02,0.13984000000000002,McDonald's Corp
110,2018-04-01,0.0968875,McDonald's Corp
111,2018-03-31,-0.012426666666666671,McDonald's Corp
112,2018-04-06,,3M Co
113,2018-04-05,0.13188399999999997,3M Co
114,2018-04-04,0.10612500000000001,3M Co
115,2018-04-03,0.209777,3M Co
116,2018-04-02,-0.056960000000000004,3M Co
117,2018-04-01,-0.17292200000000005,3M Co
118,2018-03-31,0.08688499999999999,3M Co
119,2018-04-06,,Merck & Co Inc
120,2018-04-05,0.22195675675675672,Merck & Co Inc
121,2018-04-04,0.18438125,Merck & Co Inc
122,2018-04-03,0.10569642857142857,Merck & Co Inc
123,2018-04-02,0.12788947368421055,Merck & Co Inc
124,2018-04-01,0.0597,Merck & Co Inc
125,2018-03-31,0.28583846153846154,Merck & Co Inc
126,2018-04-06,,Microsoft Corp
127,2018-04-05,0.14695294117647056,Microsoft Corp
128,2018-04-04,0.10005882352941177,Microsoft Corp
129,2018-04-03,0.31799634146341466,Microsoft Corp
130,2018-04-02,0.21323499999999995,Microsoft Corp
131,2018-04-01,0.379966,Microsoft Corp
132,2018-03-31,0.39969782608695636,Microsoft Corp
133,2018-04-06,,Nike Inc
134,2018-04-05,0.09907021276595744,Nike Inc
135,2018-04-04,0.1934890410958904,Nike Inc
136,2018-04-03,0.042158426966292135,Nike Inc
137,2018-04-02,0.08704,Nike Inc
138,2018-04-01,0.17826000000000003,Nike Inc
139,2018-03-31,0.10484054054054055,Nike Inc
140,2018-04-06,,Pfizer Inc
141,2018-04-05,0.07754117647058824,Pfizer Inc
142,2018-04-04,0.11788529411764705,Pfizer Inc
143,2018-04-03,0.0425061224489796,Pfizer Inc
144,2018-04-02,0.08816538461538462,Pfizer Inc
145,2018-04-01,0.11270925925925925,Pfizer Inc
146,2018-03-31,0.22429999999999997,Pfizer Inc
147,2018-04-06,,Procter & Gamble Co
148,2018-04-05,0.097997,Procter & Gamble Co
149,2018-04-04,0.07729880952380953,Procter & Gamble Co
150,2018-04-03,0.17767551020408162,Procter & Gamble Co
151,2018-04-02,0.23787924528301882,Procter & Gamble Co
152,2018-04-01,0.2752025641025641,Procter & Gamble Co
153,2018-03-31,0.15646734693877554,Procter & Gamble Co
154,2018-04-06,,Travelers Companies Inc
155,2018-04-05,-0.036571428571428574,Travelers Companies Inc
156,2018-04-04,0.471875,Travelers Companies Inc
157,2018-04-03,0.03351111111111111,Travelers Companies Inc
158,2018-04-02,0.07378333333333333,Travelers Companies Inc
159,2018-04-01,0.12412,Travelers Companies Inc
160,2018-03-31,0.16299090909090908,Travelers Companies Inc
161,2018-04-06,,UnitedHealth Group Inc
162,2018-04-05,0.0,UnitedHealth Group Inc
163,2018-04-04,0.2250375,UnitedHealth Group Inc
164,2018-04-03,0.2708526315789474,UnitedHealth Group Inc
165,2018-04-02,0.19408235294117648,UnitedHealth Group Inc
166,2018-04-01,0.13929285714285716,UnitedHealth Group Inc
167,2018-03-31,0.22530000000000003,UnitedHealth Group Inc
168,2018-04-06,,United Technologies Corp
169,2018-04-05,0.21634000000000003,United Technologies Corp
170,2018-04-04,0.21075,United Technologies Corp
171,2018-04-03,0.45331666666666665,United Technologies Corp
172,2018-04-02,0.4215,United Technologies Corp
173,2018-04-01,0.45968,United Technologies Corp
174,2018-03-31,,United Technologies Corp
175,2018-04-06,,Verizon Communications Inc
176,2018-04-05,0.05038666666666668,Verizon Communications Inc
177,2018-04-04,0.032315384615384614,Verizon Communications Inc
178,2018-04-03,0.10707272727272725,Verizon Communications Inc
179,2018-04-02,0.047433333333333334,Verizon Communications Inc
180,2018-04-01,0.20155714285714282,Verizon Communications Inc
181,2018-03-31,0.2660921052631579,Verizon Communications Inc
182,2018-04-06,,Visa Inc
183,2018-04-05,-0.17476976744186049,Visa Inc
184,2018-04-04,0.10991923076923077,Visa Inc
185,2018-04-03,0.22543150684931504,Visa Inc
186,2018-04-02,0.07429000000000001,Visa Inc
187,2018-04-01,0.005081052631578946,Visa Inc
188,2018-03-31,0.014669999999999999,Visa Inc
189,2018-04-06,,Walmart Inc
190,2018-04-05,0.20676,Walmart Inc
191,2018-04-04,0.07342200000000002,Walmart Inc
192,2018-04-03,0.18523399999999998,Walmart Inc
193,2018-04-02,0.11111340206185567,Walmart Inc
194,2018-04-01,0.05473877551020408,Walmart Inc
195,2018-03-31,0.1605,Walmart Inc
196,2018-04-06,,Walt Disney Co
197,2018-04-05,0.19902857142857144,Walt Disney Co
